0:8:28 - ***   OpenGL Version: 4.5.13399 Compatibility Profile Context 15.201.1151.0   ***

0:8:34 - Loaded new texture: models/crate/crate-d.png
0:8:38 - Loaded new texture: models/crate/crate-s.png
0:8:38 - Loaded new model: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
0:8:38 - Loaded model from cache: models/crate/crate.obj
